Date,Close,High,Low,Open,Volume,return,log_return,rolling_return_mean_20,rolling_return_std_20,abnormal_return,price_moving_average_20,price_moving_std_20,price_zscore,high_low_range,open_close_body,realized_volatility_5,realized_volatility_20,volatility_ratio,volume_moving_average_20,volume_moving_std_20,abnormal_volume,volume_zscore,volume_change,return_volume_interaction,volatility_volume_interaction,momentum_5,momentum_10,price_reversal,ticker,suspicion_score,label
2019-01-30,4974.759765625,4974.759765625,4942.64013671875,4943.68017578125,68861600,0.0094516815908349,0.0094072939212742,0.0030040510580245,0.0098644636862164,0.6536220049975655,4820.82900390625,82.85273226129554,1.8578839528585835,0.0064565185897403,0.0062867314912495,0.0074975335412875,0.0098644636862164,0.7600548574945593,78943935.0,13127883.57068848,0.8722848690022862,-0.7680091726675209,0.0369582862125097,0.570144585006313,0.0086046224143091,0.027762259588274,0.0340944476856188,-7.656364589130388e-05,index_FCHI,0,0
2019-01-31,39.49072647094727,40.09812951029959,39.04466327999454,39.412427913785926,162958400,0.0072014281823957,0.0071756217199852,0.0031374094784707,0.0322600348230735,0.1259768852145916,36.534017944335936,1.2832926487951384,2.304001764046057,0.0266762940175353,0.0019866463779552,0.0332660157998584,0.0322600348230735,1.0311835056069247,158209540.0,65488812.50698594,1.0300162682983591,0.0725140648945714,-0.3333376970633188,0.1297582412005844,0.0332283606836373,0.0899808900096341,0.0742223340138372,-0.0004921068180537,AAPL,1,0
2019-01-31,135.41104125976562,135.78075859778951,130.97436268441697,131.06679907082915,90580,0.0375353272189316,0.0368480228745172,0.0067936082826493,0.0278850649735128,1.1024438697016792,129.69883575439454,3.4564387684671707,1.6526274260904334,0.0354948597149636,0.0331452528003589,0.0207259937654216,0.0278850649735128,0.7432650339925203,98322.0,33566.73582111032,0.9212587213441548,-0.2306450064510297,0.6589743589743591,1.015636029755071,0.0256893593020971,0.0280700978000802,0.0390068767207167,0.0001851602565922,AMC,0,0
2019-01-31,2.741968870162964,2.7879100454491166,2.6839378390873545,2.7008634988357025,24198400,0.0125000583255057,0.0124225776039932,-0.0040190244771532,0.075750804055864,0.2180713856248519,3.5980482935905456,0.406392928401142,-2.106531299143482,0.0379188135551599,0.0152193442374933,0.1211213492740316,0.075750804055864,1.5989447344309131,21021500.0,28051596.85433068,1.1511262279095211,0.1132520197155742,-0.0164851243700211,0.2510276915493383,0.08719873733394,-0.2822784932570761,-0.2767857271995239,8.865361663035616e-05,GME,2,0
2019-01-31,97.2763900756836,98.01227475436224,96.11201693349012,96.68954857045516,55636400,-0.0183304317457599,-0.018500515792113,0.0018055574613935,0.0202560917405323,-0.994070794360664,97.14225807189942,2.2541661215924287,0.0595040456421277,0.019534625199328,0.006069337523081,0.0238863929175523,0.0202560917405323,1.1792202179730356,33944175.0,8142207.535905921,1.6390558910328503,2.6641699937443897,0.1246060895174836,1.6293375916005517,0.0332008664966214,-0.0166666461005577,-0.0090149390663085,0.0006125528788836,MSFT,0,0
2019-01-31,4992.72021484375,5016.27978515625,4955.5,4993.08984375,102641200,0.0036103148825104,0.0036038133394478,0.0040151641727311,0.0087177326777275,-0.0464397458819817,4839.890502929688,75.70162436148118,2.018843230949559,0.0121736813882634,-7.402809038428891e-05,0.0075126361535992,0.0087177326777275,0.8617649142640998,80138920.0,14155982.219564686,1.2807909065907053,1.5895951019845216,0.4905433507208663,0.0594796042300253,0.011165592739722,0.0247867911219477,0.0413714612781308,-3.412354671214112e-05,index_FCHI,1,0
2019-02-01,39.50969696044922,40.09337168073329,39.369706696277575,39.61409500678469,130672400,0.0004803783368205,0.0004802629920852,0.0081417859012265,0.0214270202131423,-0.3575582366654438,36.8226526260376,1.2702079330616027,2.115436586775992,0.0183161360407328,-0.0026353762800232,0.0327057333547354,0.0214270202131423,1.5263780511428848,146480720.0,43906983.75939757,0.8920791760171578,-0.3600411289153172,-0.1981241838407839,0.318970257142657,0.019114598536243,0.0555272239873401,0.0683946141398583,-3.4594100929920984e-06,AAPL,2,0
2019-02-01,131.1592254638672,134.20944296149935,129.03332954788715,134.20944296149935,126890,-0.0313993287130993,-0.0319028559646209,0.0045642108483648,0.0291026858286766,-1.2357464109387162,130.22106857299804,2.7429676451593856,0.3420225872969196,0.039464348735714,-0.022727294222562,0.0252226714907256,0.0291026858286766,0.8666784790657416,97704.5,32880.97441810706,1.2987119324084355,0.8876105564538254,0.4008611172444247,1.604878609317009,0.0377960053508362,0.0128477578285906,0.0056696989689362,0.0011785840777009,AMC,0,0
2019-02-01,2.7177891731262207,2.763730579253013,2.7032815305771014,2.7347150635599538,13909600,-0.008818370368773,-0.0088574823022007,-0.0040773900590333,0.0757541994335107,-0.0625837292875212,3.577132916450501,0.4407324544599386,-1.9498081764305195,0.0222419933354794,-0.006189270194643,0.1193130585289301,0.0757541994335107,1.5750025664735698,21366900.0,27912065.99858695,0.6509882107371683,-0.2671711940053999,-0.4251851362073525,0.0407412699501427,0.0493150907450477,-0.2930817635024719,-0.2872543128701134,0.0001102301439455,GME,1,0
2019-02-01,95.73941802978516,96.96899580836966,95.33887337655392,96.67091656225128,35535700,-0.0158000522501157,-0.0159262036391812,0.0028549679097892,0.0186298080430347,-1.001353321344586,97.39283142089845,1.718520151581762,-0.9621146365909292,0.0170266590852745,-0.0096357680840471,0.0232812654450457,0.0186298080430347,1.249678224878438,33592005.0,7897720.77543995,1.0578618334928207,0.2461083463528406,-0.3612868553680683,1.0592934604917097,0.019707762894024,-0.0409628891535228,-0.0314738129728834,-0.0002896217793501,MSFT,0,0
