Date,Close,High,Low,Open,Volume,return,log_return,rolling_return_mean_20,rolling_return_std_20,abnormal_return,price_moving_average_20,price_moving_std_20,price_zscore,high_low_range,open_close_body,realized_volatility_5,realized_volatility_20,volatility_ratio,volume_moving_average_20,volume_moving_std_20,abnormal_volume,volume_zscore,volume_change,return_volume_interaction,volatility_volume_interaction,momentum_5,momentum_10,price_reversal,ticker
2019-01-31,135.41104125976562,135.78075859778951,130.97436268441697,131.06679907082915,90580,0.0375353272189316,0.03684802287451727,0.00679360828264935,0.027885064973512848,1.1024438697016792,129.69883575439454,3.4564387684671707,1.6526274260904334,0.03549485971496369,0.0331452528003589,0.020725993765421665,0.027885064973512848,0.7432650339925203,98322.0,33566.73582111032,0.9212587213441549,-0.23064500645102973,0.6589743589743591,1.015636029755071,0.025689359302097127,0.028070097800080296,0.03900687672071679,0.0001851602565922147,AMC
2019-02-01,131.1592254638672,134.20944296149935,129.03332954788715,134.20944296149935,126890,-0.03139932871309936,-0.031902855964620905,0.004564210848364864,0.029102685828676665,-1.2357464109387162,130.22106857299804,2.7429676451593856,0.3420225872969196,0.03946434873571404,-0.022727294222562096,0.025222671490725605,0.029102685828676665,0.8666784790657416,97704.5,32880.97441810706,1.2987119324084357,0.8876105564538254,0.40086111724442475,1.604878609317009,0.03779600535083627,0.0128477578285906,0.00566969896893621,0.001178584077700979,AMC
2019-02-04,132.6381378173828,133.6548817975784,129.58791998061042,130.97438135152385,85880,0.011275702096327445,0.011212605232056234,0.0032903301271003218,0.028161947334075788,0.2835518394555362,130.59541397094728,2.5161565107606023,0.8118429190313149,0.030662084705738352,0.012702915247170278,0.025411969403774173,0.028161947334075788,0.9023512863766293,96873.5,32963.31442121042,0.8865169525205552,-0.3335071182322058,-0.32319331704626053,0.25137351259571966,0.02496604372764924,0.024268327414799007,-0.007607196360035373,0.00035404947659356897,AMC
2019-02-05,130.050048828125,134.85644450469184,128.3862926813641,132.63811237821844,118450,-0.019512404439974262,-0.019705284562911055,0.0001729041722669078,0.02698005014752463,-0.7296246116891395,130.57230529785156,2.5190813928682383,-0.2073202045813665,0.04975124486019021,-0.019512216388556235,0.027005247752644332,0.02698005014752463,1.0009339347029351,97200.0,33151.99287492303,1.2186213991769548,0.6409871068738681,0.37925011644154627,0.8891361651705615,0.03287846646064087,-0.008456718403294872,0.04145061322214705,0.00022001605964820672,AMC
2019-02-06,127.4620132446289,130.32737246517644,127.0922958437004,129.3106284569009,101950,-0.019900304589016038,-0.020100982480458007,-0.0024155990989794705,0.02625259387405896,-0.6660182065785801,130.21182518005372,2.415305403002504,-1.1384945075709605,0.025380711783260353,-0.014295926284884896,0.02829269899742646,0.02625259387405896,1.0777106114982182,96684.0,32984.98101608638,1.054466095734558,0.15964841687893758,-0.13929928239763611,0.7022936179790477,0.027682470165283923,-0.023371060517471176,0.0,-0.00038830279161955673,AMC
2019-02-07,123.11775970458984,127.092284889159,122.19345217812324,126.352836047223,149490,-0.034082731234610586,-0.03467709153720971,-0.001992073916597059,0.02563197529919404,-1.2519775375650652,129.92066802978516,2.8823909567891715,-2.360161555867977,0.03978981361251278,-0.02560351191028332,0.01801764401124276,0.02563197529919404,0.7029362271509875,96940.5,33392.66173325479,1.5420799356306187,1.5736840752549972,0.46630701324178525,1.9306494405393164,0.03952655481946675,-0.09078492743876754,-0.06526317143066662,-0.0006782567327943213,AMC
2019-02-08,126.81497955322266,126.99983822280126,122.74803240724373,122.74803240724373,63430,0.030029947405670443,0.02958787697000674,0.00029795141923928404,0.02637147967632173,1.127429948996254,129.91604537963866,2.88754731511771,-1.0739445931086296,0.0335276308093643,0.033132483398886046,0.02626828549445482,0.02637147967632173,0.9960869020952371,95229.5,34220.82091282102,0.6660751132789734,-0.9292442189218827,-0.5756906816509466,0.7509530309917871,0.01756538631274014,-0.0331219240985936,-0.020699708729638666,0.001023502626416957,AMC
2019-02-11,121.73130798339844,127.4620122771822,119.9751291865955,126.99985847762198,169630,-0.040087311354970234,-0.04091294798449005,-0.0027989137266326235,0.027326785978544783,-1.3645365268207552,129.51859283447266,3.419723504159486,-2.277167976183563,0.061503348765526725,-0.04148469578926257,0.027617769065699526,0.027326785978544783,1.0106482733601823,100818.0,36824.30213009367,1.6825368485786267,1.8686572730394053,1.674286615166325,2.2958829876074183,0.045978324362123346,-0.08222996804283378,-0.05995722441580664,0.0012038198516244917,AMC
2019-02-12,122.56317138671876,123.48747882069458,118.49621021493785,122.0085812848084,230240,0.006833602769090286,0.006810359535621769,-0.0028136102806070483,0.02732124496202988,0.35310298132843865,129.11651840209962,3.7427877073488336,-1.7509267230181347,0.04072404907023804,0.004545500784209326,0.029405014734404017,0.02732124496202988,1.0762692101062776,105259.0,46152.856660175836,2.1873664009728384,2.7079797231239,0.35730708011554557,0.7723655974411662,0.059761573262692595,-0.05756920131034282,-0.06553907318945351,0.00027394076188070904,AMC
2019-02-13,124.87394714355467,124.87394714355467,121.54643454860756,122.93289577920002,151530,0.018853752972373794,0.018678223795712646,-0.0025078667210366888,0.02753780476837018,0.775719774073871,128.7467948913574,3.780084731635639,-1.0245399303858884,0.02664697217524334,0.015789519575305336,0.03164049719359357,0.02753780476837018,1.1489840043435753,109602.5,46218.61334718775,1.382541456627358,0.9071561642286083,-0.34186066712995133,1.0724647463827346,0.03807215671678231,-0.02030460711543247,-0.043201127431225395,-0.00012883905851975776,AMC
