Date,Close,High,Low,Open,Volume,return,log_return,rolling_return_mean_20,rolling_return_std_20,abnormal_return,price_moving_average_20,price_moving_std_20,price_zscore,high_low_range,open_close_body,realized_volatility_5,realized_volatility_20,volatility_ratio,volume_moving_average_20,volume_moving_std_20,abnormal_volume,volume_zscore,volume_change,return_volume_interaction,volatility_volume_interaction,momentum_5,momentum_10,price_reversal,ticker
2019-01-31,2.741968870162964,2.7879100454491166,2.6839378390873545,2.7008634988357025,24198400,0.012500058325505714,0.012422577603993236,-0.0040190244771532106,0.07575080405586404,0.2180713856248519,3.5980482935905456,0.406392928401142,-2.106531299143482,0.037918813555159976,0.01521934423749337,0.12112134927403166,0.07575080405586404,1.5989447344309131,21021500.0,28051596.85433068,1.1511262279095211,0.11325201971557429,-0.016485124370021143,0.25102769154933835,0.08719873733394003,-0.2822784932570761,-0.2767857271995239,8.865361663035616e-05,GME
2019-02-01,2.7177891731262207,2.763730579253013,2.7032815305771014,2.7347150635599538,13909600,-0.008818370368773087,-0.008857482302200797,-0.004077390059033353,0.07575419943351076,-0.06258372928752126,3.5771329164505006,0.44073245445993864,-1.9498081764305193,0.02224199333547941,-0.006189270194643069,0.11931305852893011,0.07575419943351076,1.5750025664735698,21366900.0,27912065.99858695,0.6509882107371683,-0.2671711940053999,-0.42518513620735254,0.04074126995014278,0.04931509074504778,-0.29308176350247195,-0.2872543128701134,0.00011023014394557492,GME
2019-02-04,2.749222755432129,2.7758202543125727,2.659758189458099,2.717789221885336,17086000,0.01156586486425315,0.011499491535615651,-0.012250058424238925,0.06319082922786942,0.3768889185266206,3.530345356464386,0.4768692230288696,-1.6380226764707106,0.04221631900330709,0.011565846716025787,0.1230777088619816,0.06319082922786942,1.9477147295876902,19838060.0,27224882.050846912,0.8612737334194976,-0.10108620470274504,0.22836026916661867,0.3246045259438594,0.05442460140696101,-0.2664516270626738,-0.2862523805099595,0.00010199208000816375,GME
2019-02-05,2.8507771492004395,2.85561318381882,2.7443869241391194,2.746804710853487,17084400,0.03693931078071122,0.03627340369749532,-0.011190494409061464,0.06385913140582182,0.7536871255562497,3.485733962059021,0.4972273725275684,-1.2769948879340447,0.03901611871376773,0.03785214068409178,0.01854651180809868,0.06385913140582182,0.29042850098032896,19748680.0,27231154.22370797,0.8650907301146203,-0.09783940769137234,-9.364391899802094e-05,0.6520077457254456,0.05524394261234788,0.04521276200521318,-0.22789787404075867,-0.0004272350766683555,GME
2019-02-06,2.783074378967285,2.8290155565228194,2.756476648797653,2.809671878542086,13918400,-0.023748882038058583,-0.024035432669417982,-0.013443833100793579,0.0634454394010965,-0.1624237933339446,3.4337477803230287,0.5141949861985932,-1.2654215206688917,0.026064307972999037,-0.009466407724663582,0.023100663757178515,0.0634454394010965,0.3641028255969377,19755840.0,27229519.704104416,0.7045207898019016,-0.21437910265894625,-0.1853152583643558,0.11443093916225149,0.04469863107618919,0.02767868800097739,-0.25645988951992194,0.0008772673342982964,GME
2019-02-07,2.773402452468872,2.8024179685244577,2.715371189762878,2.756476561823663,8084400,-0.0034752669822651905,-0.003481319749955449,-0.014155226633609857,0.06323928450020323,0.16888172811807103,3.3792227506637573,0.5239071841935851,-1.1563504309019612,0.0313862774167849,0.006140407968501348,0.023027531812149598,0.06323928450020323,0.3641333388595754,19449160.0,27329530.885846194,0.41566833734721703,-0.4158417518203997,-0.41915737441085177,0.07019878713516334,0.026286568243227112,0.0114638727842451,-0.2740506252092586,-8.253370561257583e-05,GME
2019-02-08,2.744386911392212,2.7782382311843543,2.734715072795197,2.7540587499892277,7204800,-0.010462073779025749,-0.010517186002010842,-0.014615753130758214,0.06317387352755353,0.06574995516019484,3.323488736152649,0.5294354616793243,-1.0938100423488353,0.01585897316755467,-0.003511849047175789,0.0232401260177867,0.06317387352755353,0.36787559033641376,19228440.0,27413791.805747017,0.3746949830563478,-0.43859820944140127,-0.10880213744990352,0.024636178334704835,0.02367093347101053,0.009786534779442135,-0.28616348359476695,-3.6358499570270595e-05,GME
2019-02-11,2.732296943664551,2.754058637265836,2.698445394663128,2.751640620066846,7674400,-0.004405343749991908,-0.004415075869508562,-0.014491409840416363,0.06319232037882395,0.159609047902668,3.268480098247528,0.5309209159491031,-1.0099115300900647,0.02035402584322329,-0.007029870202245108,0.02271647228896854,0.06319232037882395,0.35948153435082497,19128200.0,27454182.44121995,0.4012086866511224,-0.4171969070476914,0.06517876970908287,0.06403653648666552,0.025353307865624918,-0.006156580704177128,-0.2709677768210802,-4.608903133438531e-05,GME
2019-02-12,2.792746067047119,2.8024179055148526,2.732297018975081,2.732297018975081,10712000,0.022123921604763064,0.021882738447240854,-0.012722753247303908,0.06372171994262817,0.5468570980733284,3.2190327763557436,0.5266427183047482,-0.8094419508558524,0.025108221390823814,0.022123893431876342,0.016693377865310572,0.06372171994262817,0.26197312125819033,18941620.0,27500336.112923957,0.5655271302032244,-0.2992552515069966,0.3958094443865319,0.30926252530467263,0.03603636141076808,-0.020356232394242557,0.023936168120406887,9.74634797668539e-05,GME
2019-02-13,2.773402452468872,2.841105323265238,2.7516407577784774,2.795164147159267,8531200,-0.006926377878207823,-0.006950476575721592,-0.012717407665167529,0.0637222268314881,0.0908792751746411,3.169948160648346,0.5197538101582763,-0.7629491125013921,0.032258053787729044,-0.007785480045066976,0.013003881703991955,0.0637222268314881,0.2040713633310463,18922540.0,27507791.78916786,0.4508485647275683,-0.3777598754434352,-0.20358476474981324,0.040972790775968666,0.028729074508220948,-0.0034752669822651905,0.024107230188189943,0.000153238641182435,GME
