Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2019-01-02,94.19315338134766,94.77999501810811,92.16248588194682,92.73070067123591,35329300
2019-01-03,90.72795104980469,93.32683259525948,90.5416470945143,93.2429940386865,42579100
2019-01-04,94.94763946533203,95.48791028431893,92.15314405138929,92.88902869653987,44060600
2019-01-07,95.06873321533203,96.19584553067855,94.06272025150858,94.67750555680239,35656100
2019-01-08,95.75807189941406,96.84792370348103,94.74273459229953,95.98162960381391,31514400
2019-01-09,97.1273422241211,97.69555685868518,96.16789993824808,96.74543154739648,32280800
2019-01-10,96.50325012207031,96.64297632847756,95.3668207332209,96.14928322503938,30067600
2019-01-11,95.75807189941406,96.35423051566119,94.6775299657341,96.12135583410306,28314200
2019-01-14,95.0594253540039,95.82325384444417,94.32354068165286,94.9196991567882,28437100
2019-01-15,97.8166732788086,97.85393407687918,94.90107801402655,95.4879267001753,31587600
2019-01-16,98.16130828857422,98.98103150786294,97.77008062851523,98.04953301813993,29853900
2019-01-17,98.85062408447266,99.32568320599165,97.58378554688275,97.80734319858404,28393000
2019-01-18,100.33171081542969,100.50869781911955,98.65501764190162,100.09883617131995,37427600
2019-01-22,98.44078063964844,99.76350705764791,97.67695200746007,99.43748394148902,32371300
2019-01-23,99.40021514892578,99.70761139377449,98.12405950340775,98.85063438398751,25874300
2019-01-24,98.92514038085938,99.6703420425772,98.12405108188213,99.53993281779204,23164800
2019-01-25,99.82868957519531,100.49005263774534,98.92513491994113,99.89389418398842,31225600
2019-01-28,97.88186645507812,99.18596580800073,97.49063878123226,98.98103499595679,29476700
2019-01-29,95.88847351074219,97.77941463721287,95.17121556891286,97.69557606301235,31490500
2019-01-30,99.09280395507812,99.09280395507812,97.18323636961247,97.45337177674814,49471900
2019-01-31,97.2763900756836,98.01227475436224,96.11201693349011,96.68954857045516,55636400
2019-02-01,95.73941802978516,96.96899580836966,95.33887337655393,96.67091656225128,35535700
2019-02-04,98.49665069580078,98.55254543913937,95.73009897732443,95.82325451396552,31315100
2019-02-05,99.87525177001953,99.92182242231418,98.70156188796345,98.79471029932098,27325400
2019-02-06,98.76677703857422,99.67033164948907,98.30102782525884,99.67033164948907,20609800
2019-02-07,98.0588607788086,98.35694006563924,97.14599607210197,97.98434628717902,29760700
2019-02-08,98.43144989013672,98.53391529898809,97.11804063259544,97.23913288543345,21461100
2019-02-11,98.04022979736328,99.27912466812353,97.77941132073386,98.92515064403747,18914100
2019-02-12,99.56790161132812,99.80077630068136,98.25449205889706,98.86927754326841,25056600
2019-02-13,99.49334716796875,100.39690180153033,99.4001987443248,100.13608337261961,18394900
2019-02-14,99.57720184326172,99.94048572901892,98.42214556820731,99.02761397328908,21784700
2019-02-15,100.8067855834961,100.88130718152279,100.00569617163606,100.51802327460611,26606900
2019-02-19,100.76020812988281,101.21664758917618,100.39692422180575,100.40624119828153,18038500
2019-02-20,100.23633575439453,100.97536324751083,99.43182517389431,100.90052339418028,21607700
2019-02-21,102.35050201416016,102.41598509309527,99.97439050589702,100.00245366299488,29063200
2019-02-22,103.80986022949219,104.02501589378497,102.73406049666386,102.94922329807812,27763200
2019-02-25,104.38986206054688,104.94179713341468,104.08116011303738,104.54889855504099,23750600
2019-02-26,105.11017608642578,105.93339311882059,103.99695638653229,104.08115301165182,21536700
2019-02-27,104.93241882324219,105.11016167859154,103.72565303417082,104.4833940078933,21487100
2019-02-28,104.80146789550781,105.59662177185771,104.52082912938997,104.8108246621816,29083900
