Date,Close,High,Low,Open,Volume
,AMC,AMC,AMC,AMC,AMC
2019-01-02,119.14323425292969,120.89942701156743,109.99259540294925,111.00933226940187,137490
2019-01-03,120.71456909179688,125.15123395393205,116.7400438909716,118.31136387162896,139240
2019-01-04,125.15122985839844,126.5376911083976,120.344833679164,122.19344867916287,102500
2019-01-07,130.51222229003906,131.80626131291604,123.5799157154568,125.24367211411932,111920
2019-01-08,134.67161560058594,135.87321831117563,130.23493626353968,131.34411667566238,112270
2019-01-09,128.94090270996094,136.33536308042466,128.3863125406506,136.2429266842683,144360
2019-01-10,126.90743255615234,128.66361130280754,124.31936853175445,127.55444503629825,97650
2019-01-11,129.68035888671875,130.14251268595595,125.79826979388928,127.18473119160086,57860
2019-01-14,130.6046600341797,131.80626267360805,127.55444228911205,129.21819870495023,141420
2019-01-15,132.26841735839844,133.56244229970733,129.1257631949404,131.06681471071784,64660
2019-01-16,130.32737731933594,134.94891552214926,129.7727870934722,132.08355619487887,96010
2019-01-17,130.41978454589844,133.65486056407923,130.23491177609552,130.23491177609552,82830
2019-01-18,133.65487670898438,134.5791842544025,130.88195407273005,130.88195407273005,95380
2019-01-22,124.87394714355469,129.6803432555127,123.85720326626168,129.49548457886297,159530
2019-01-23,127.4620132446289,133.10029528358444,125.42853933189265,125.6133980323569,148060
2019-01-24,131.7138214111328,131.89868009410506,126.99984742436689,127.64687397048989,59340
2019-01-25,129.49549865722656,134.02460019469387,128.6636133661432,133.0078562068635,77260
2019-01-28,129.49549865722656,130.97438233501722,128.29389597264915,129.125767159918,68900
2019-01-29,131.1592254638672,132.3608280058208,129.40304689749772,129.9576370257264,62070
2019-01-30,130.51222229003906,132.6381324603404,128.84846589137655,132.6381324603404,54600
2019-01-31,135.41104125976562,135.78075859778951,130.97436268441697,131.06679907082915,90580
2019-02-01,131.1592254638672,134.20944296149935,129.03332954788715,134.20944296149935,126890
2019-02-04,132.6381378173828,133.6548817975784,129.58791998061042,130.97438135152385,85880
2019-02-05,130.050048828125,134.85644450469184,128.3862926813641,132.63811237821844,118450
2019-02-06,127.4620132446289,130.32737246517644,127.09229584370041,129.3106284569009,101950
2019-02-07,123.11775970458984,127.09228488915899,122.19345217812324,126.352836047223,149490
2019-02-08,126.81497955322266,126.99983822280126,122.74803240724373,122.74803240724373,63430
2019-02-11,121.73130798339844,127.46201227718221,119.9751291865955,126.99985847762198,169630
2019-02-12,122.56317138671875,123.48747882069458,118.49621021493785,122.00858128480839,230240
2019-02-13,124.87394714355469,124.87394714355469,121.54643454860755,122.93289577920002,151530
2019-02-14,126.16798400878906,129.40306052183493,123.4874976823625,124.22693245943582,117350
2019-02-15,127.4620132446289,130.6970898661049,126.16798823756442,126.90743714323618,101730
2019-02-19,122.00859832763672,128.10903388554422,121.82373963578192,126.8149948349323,204920
2019-02-20,126.35283660888672,128.2938880646204,122.470747801233,123.11776025187302,177160
2019-02-21,126.63013458251953,128.38631328921866,125.42853194455036,126.16798080667093,73300
2019-02-22,128.2014617919922,132.3608460079792,127.1847318903731,127.92416669016343,100200
2019-02-25,126.07555389404297,130.88196480748323,126.07555389404297,129.5879256754743,135890
2019-02-26,125.33611297607422,127.46200911831376,120.89943378948662,126.07554775399353,194300
2019-02-27,128.2014617919922,129.86521829914994,124.4118090797151,125.2436802813866,139030
2019-02-28,129.68035888671875,132.9154354813791,128.29389748900718,128.66361488687107,217350
2019-03-01,147.88919067382812,152.51072788238525,140.4947311401367,144.74655101353417,1004580
2019-03-04,143.26766967773438,149.27566872873615,139.2007221155049,148.9059513517385,346070
2019-03-05,144.37684631347656,146.87247404753077,140.9569109665271,144.6541414181081,211250
2019-03-06,139.8477325439453,145.57843642697458,139.29314238269802,144.4692702082937,157150
2019-03-07,136.7975311279297,140.40232529315304,135.6883647773852,139.84774916978847,114900
2019-03-08,137.921875,138.10926599638393,134.54879417403976,135.86054544574375,86730
2019-03-11,137.2659912109375,140.9201654629343,136.32902198765464,138.39035141947377,135780
2019-03-12,135.1109619140625,138.10926063076948,134.6424772927953,137.9218696416658,101660
2019-03-13,135.2046661376953,138.20296488945309,133.70550961330832,134.45508787550182,128580
