model,strategy,threshold,val_accuracy,val_precision,val_recall,val_f1_score,val_roc_auc,val_cost,val_TN,val_FP,val_FN,val_TP,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc,test_cost,test_TN,test_FP,test_FN,test_TP
logistic_regression_calibrated_sigmoid,Recall constrained threshold,0.21566835792041347,0.9934959349593496,0.6666666666666666,1.0,0.8,0.9971169686985173,28000,603,4,0,8,0.9918633034987795,0.7419354838709677,0.92,0.8214285714285714,0.9972093023255814,30056000,1196,8,2,23
random_forest_calibrated_sigmoid,Recall constrained threshold,0.06529489268736088,0.9902439024390244,0.5714285714285714,1.0,0.7272727272727273,0.9975288303130149,42000,601,6,0,8,0.9910496338486574,0.7058823529411765,0.96,0.8135593220338984,0.9979069767441859,15070000,1194,10,1,24
xgboost_calibrated_isotonic,Recall constrained threshold,0.4000000059604645,0.9951219512195122,0.7272727272727273,1.0,0.8421052631578947,0.9980436573311368,21000,604,3,0,8,0.9959316517493898,0.8846153846153846,0.92,0.9019607843137255,0.9789867109634551,30021000,1201,3,2,23
