window_start,window_end,total_count,positive_count,positive_rate,baseline_positive_rate,absolute_change,relative_change,label_drift_detected
2019-01-31,2019-04-01,211,4,0.018957345971563982,0.02563580874872838,-0.006678462777164398,-0.26051305198224617,False
2019-02-01,2019-04-02,211,4,0.018957345971563982,0.02563580874872838,-0.006678462777164398,-0.26051305198224617,False
2019-02-02,2019-04-03,211,5,0.023696682464454975,0.02563580874872838,-0.0019391262842734062,-0.07564131497780788,False
2019-02-03,2019-04-04,216,5,0.023148148148148147,0.02563580874872838,-0.002487660600580234,-0.09703850676072898,False
2019-02-04,2019-04-05,221,5,0.02262443438914027,0.02563580874872838,-0.00301137435958811,-0.11746749982044097,False
2019-02-07,2019-04-08,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-02-08,2019-04-09,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-02-09,2019-04-10,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-02-10,2019-04-11,216,6,0.027777777777777776,0.02563580874872838,0.0021419690290493953,0.08355379188712522,False
2019-02-11,2019-04-12,221,6,0.027149321266968326,0.02563580874872838,0.0015135125182399456,0.0590390002154709,False
2019-02-14,2019-04-15,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-02-15,2019-04-16,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-02-16,2019-04-17,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-02-17,2019-04-18,216,6,0.027777777777777776,0.02563580874872838,0.0021419690290493953,0.08355379188712522,False
2019-02-21,2019-04-22,209,6,0.028708133971291867,0.02563580874872838,0.0030723252225634858,0.11984506721348837,False
2019-02-22,2019-04-23,209,6,0.028708133971291867,0.02563580874872838,0.0030723252225634858,0.11984506721348837,False
2019-02-23,2019-04-24,209,6,0.028708133971291867,0.02563580874872838,0.0030723252225634858,0.11984506721348837,False
2019-02-24,2019-04-25,214,7,0.03271028037383177,0.02563580874872838,0.0070744716251033915,0.27596053997923153,False
2019-02-25,2019-04-26,219,7,0.0319634703196347,0.02563580874872838,0.0063276615709063205,0.24682902080162356,False
2019-02-28,2019-04-29,209,7,0.03349282296650718,0.02563580874872838,0.007857014217778797,0.30648591174906975,False
2019-03-01,2019-04-30,209,7,0.03349282296650718,0.02563580874872838,0.007857014217778797,0.30648591174906975,False
2019-03-02,2019-05-01,208,7,0.03365384615384615,0.02563580874872838,0.008018037405117771,0.312767094017094,False
2019-03-03,2019-05-02,213,7,0.03286384976525822,0.02563580874872838,0.0072280410165298375,0.2819509650495568,False
2019-03-04,2019-05-03,218,7,0.03211009174311927,0.02563580874872838,0.006474282994390887,0.2525484199796128,False
2019-03-07,2019-05-06,208,7,0.03365384615384615,0.02563580874872838,0.008018037405117771,0.312767094017094,False
2019-03-08,2019-05-07,208,7,0.03365384615384615,0.02563580874872838,0.008018037405117771,0.312767094017094,False
2019-03-09,2019-05-08,208,6,0.028846153846153848,0.02563580874872838,0.003210345097425467,0.12522893772893787,False
2019-03-10,2019-05-09,213,7,0.03286384976525822,0.02563580874872838,0.0072280410165298375,0.2819509650495568,False
2019-03-11,2019-05-10,218,7,0.03211009174311927,0.02563580874872838,0.006474282994390887,0.2525484199796128,False
