model,method,threshold,accuracy,precision,recall,f1_score,roc_auc,cost,savings,TN,FP,FN,TP
random_forest_smote,SMOTE + Threshold 0.5,0.5,0.9918633034987796,0.7142857142857143,1.0,0.8333333333333334,0.9977076411960132,70000,,1194,10,0,25
xgboost_calibrated_isotonic,Calibration + Threshold Moving,0.1357864286428642,0.9967453213995118,0.8888888888888888,0.96,0.9230769230769232,0.9789867109634552,15021000,0.749708401373013,1201,3,1,24
random_forest_calibrated_sigmoid,Calibration + Threshold Moving,0.0403959695969597,0.9910496338486574,0.7058823529411765,0.96,0.8135593220338984,0.997906976744186,15070000,0.8326206475259621,1194,10,1,24
logistic_regression_calibrated_sigmoid,Calibration + Threshold Moving,0.2028797179717971,0.9910496338486574,0.71875,0.92,0.8070175438596491,0.9972093023255814,30063000,0.8330028163380939,1195,9,2,23
