detection_date,event_type,severity,variable,message
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-08-19 00:00:00 and 2019-10-18 00:00:00: positive rate=0.0090, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-08-22 00:00:00 and 2019-10-21 00:00:00: positive rate=0.0095, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-08-23 00:00:00 and 2019-10-22 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-08-24 00:00:00 and 2019-10-23 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-08-25 00:00:00 and 2019-10-24 00:00:00: positive rate=0.0046, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-08-26 00:00:00 and 2019-10-25 00:00:00: positive rate=0.0045, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-08-29 00:00:00 and 2019-10-28 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-08-30 00:00:00 and 2019-10-29 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-08-31 00:00:00 and 2019-10-30 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-01 00:00:00 and 2019-10-31 00:00:00: positive rate=0.0046, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-02 00:00:00 and 2019-11-01 00:00:00: positive rate=0.0045, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-05 00:00:00 and 2019-11-04 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-06 00:00:00 and 2019-11-05 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-07 00:00:00 and 2019-11-06 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-08 00:00:00 and 2019-11-07 00:00:00: positive rate=0.0045, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-09 00:00:00 and 2019-11-08 00:00:00: positive rate=0.0044, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-12 00:00:00 and 2019-11-11 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-13 00:00:00 and 2019-11-12 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-14 00:00:00 and 2019-11-13 00:00:00: positive rate=0.0093, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-15 00:00:00 and 2019-11-14 00:00:00: positive rate=0.0091, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-16 00:00:00 and 2019-11-15 00:00:00: positive rate=0.0089, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-19 00:00:00 and 2019-11-18 00:00:00: positive rate=0.0093, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-20 00:00:00 and 2019-11-19 00:00:00: positive rate=0.0093, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-21 00:00:00 and 2019-11-20 00:00:00: positive rate=0.0093, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-22 00:00:00 and 2019-11-21 00:00:00: positive rate=0.0091, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-23 00:00:00 and 2019-11-22 00:00:00: positive rate=0.0089, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-26 00:00:00 and 2019-11-25 00:00:00: positive rate=0.0093, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-27 00:00:00 and 2019-11-26 00:00:00: positive rate=0.0093, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-28 00:00:00 and 2019-11-27 00:00:00: positive rate=0.0093, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-29 00:00:00 and 2019-11-28 00:00:00: positive rate=0.0093, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-09-30 00:00:00 and 2019-11-29 00:00:00: positive rate=0.0090, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-10-03 00:00:00 and 2019-12-02 00:00:00: positive rate=0.0095, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-10-04 00:00:00 and 2019-12-03 00:00:00: positive rate=0.0095, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-10-05 00:00:00 and 2019-12-04 00:00:00: positive rate=0.0095, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-10-06 00:00:00 and 2019-12-05 00:00:00: positive rate=0.0093, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-10-07 00:00:00 and 2019-12-06 00:00:00: positive rate=0.0090, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-10-10 00:00:00 and 2019-12-09 00:00:00: positive rate=0.0095, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-10-11 00:00:00 and 2019-12-10 00:00:00: positive rate=0.0095, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-12-12 00:00:00 and 2020-02-10 00:00:00: positive rate=0.0100, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-12-13 00:00:00 and 2020-02-11 00:00:00: positive rate=0.0100, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-12-14 00:00:00 and 2020-02-12 00:00:00: positive rate=0.0100, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-12-15 00:00:00 and 2020-02-13 00:00:00: positive rate=0.0098, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-12-16 00:00:00 and 2020-02-14 00:00:00: positive rate=0.0095, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-12-19 00:00:00 and 2020-02-17 00:00:00: positive rate=0.0102, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-12-20 00:00:00 and 2020-02-18 00:00:00: positive rate=0.0102, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-12-21 00:00:00 and 2020-02-19 00:00:00: positive rate=0.0102, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-12-22 00:00:00 and 2020-02-20 00:00:00: positive rate=0.0100, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-12-23 00:00:00 and 2020-02-21 00:00:00: positive rate=0.0097, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-12-26 00:00:00 and 2020-02-24 00:00:00: positive rate=0.0100, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2019-12-27 00:00:00 and 2020-02-25 00:00:00: positive rate=0.0099, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-02-14 00:00:00 and 2020-04-14 00:00:00: positive rate=0.0390, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-02-15 00:00:00 and 2020-04-15 00:00:00: positive rate=0.0390, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-13 00:00:00 and 2020-05-12 00:00:00: positive rate=0.0096, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-14 00:00:00 and 2020-05-13 00:00:00: positive rate=0.0096, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-15 00:00:00 and 2020-05-14 00:00:00: positive rate=0.0094, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-16 00:00:00 and 2020-05-15 00:00:00: positive rate=0.0092, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-19 00:00:00 and 2020-05-18 00:00:00: positive rate=0.0096, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-20 00:00:00 and 2020-05-19 00:00:00: positive rate=0.0048, baseline=0.0256"
